,T_obs,T_near_future,T_long_term
498,295.6453,304.97076,300.85114
499,299.04733,300.5999,299.02347
500,299.5364,294.9201,299.2647
501,298.19458,295.4423,299.1802
502,298.46225,298.6353,299.46426
503,299.29007,302.1055,302.78915
504,299.19238,302.0137,302.5678
505,299.0538,298.68347,301.88763
506,299.38364,293.96384,302.9903
507,298.42728,293.00946,303.39105
508,295.86795,293.91287,304.16714
509,291.88568,295.5296,304.3203
510,294.05356,296.0475,303.6036
511,292.22498,295.19897,299.33304
512,291.84067,294.8204,298.6751
513,294.89328,294.57275,298.6508
514,298.1549,295.8356,297.49292
515,298.15906,298.1491,295.62186
516,297.04935,298.37097,293.48764
517,299.57434,296.51978,293.14966
518,299.08817,295.35626,293.72586
519,297.80374,295.38593,296.37335
520,292.72122,297.92206,300.40643
521,293.14462,299.67267,299.58545
522,294.9898,300.1564,300.03815
523,294.14597,299.80774,300.7058
524,296.1682,302.06714,297.37128
525,298.23605,300.16064,293.33447
526,300.7794,295.5608,292.815
527,300.24585,298.25034,297.20813
528,298.80154,298.99677,301.08267
529,296.9161,297.2592,300.82
530,297.12747,299.03873,299.11566
531,298.8762,298.40326,299.5183
532,296.18893,296.10342,300.95746
533,295.38297,299.18375,300.21906
534,297.26547,300.92603,302.36996
535,297.13284,303.58624,305.24045
536,297.3259,304.63345,303.2035
537,297.60718,304.2125,302.33948
538,298.634,304.3797,300.5123
539,297.8624,304.37607,298.94336
540,299.13852,302.235,299.04004
541,299.57138,300.982,299.62448
542,298.85367,297.86765,300.289
543,299.1616,294.37262,300.09735
544,297.91214,297.5666,300.7553
545,298.4119,301.6719,298.11105
546,299.2664,303.6013,293.04926
547,301.2312,302.9984,293.72028
548,302.4256,299.95258,296.77682
549,301.5391,300.79742,301.3389
550,298.8975,301.89383,304.68417
551,299.60336,302.88226,299.68085
552,302.31192,300.88794,292.738
553,300.9067,299.23267,294.79227
554,296.74023,300.9666,297.83884
555,297.58704,302.05722,298.17767
556,301.59656,302.94205,298.47443
557,301.28568,304.01752,300.73056
558,295.86798,305.7428,303.11566
559,291.39062,306.4352,304.33392
560,292.7828,306.4968,304.53067
561,294.63095,304.1779,304.53146
562,298.18747,298.03033,299.8647
563,300.31274,296.8498,299.33514
564,301.51663,297.58514,300.8309
565,302.6968,297.14096,297.49103
566,305.2899,297.7746,296.14142
567,303.5661,299.94516,297.26846
568,301.74402,302.66537,299.18417
569,297.71555,302.31848,302.44418
570,298.41605,298.2591,303.37186
571,299.65073,294.69882,304.74185
572,297.53195,298.9344,305.63235
573,292.97464,301.06577,306.10394
574,294.43668,302.013,306.63367
575,296.18594,302.88583,306.98907
576,298.14188,305.93863,307.31268
577,300.2512,302.33136,307.08972
578,300.92978,301.1911,303.32812
579,295.21066,304.4614,299.74442
580,296.16998,304.12982,302.40936
581,298.11227,302.5087,305.13373
582,294.11102,300.36957,306.59778
583,292.1279,297.80878,303.35934
584,295.2693,299.0795,299.8241
585,298.58957,299.2409,299.71667
586,299.06564,300.38593,299.76285
587,296.3121,301.33228,301.22543
588,294.21582,301.00992,303.45636
589,293.31635,298.40546,305.67154
590,296.58093,295.63882,306.74527
591,298.7506,297.7158,307.61514
592,296.4678,299.37967,307.0296
593,296.66443,298.00775,307.14423
594,298.859,294.49057,306.0445
595,298.69495,295.83063,300.673
596,299.49734,294.98996,301.86768
597,297.82922,294.522,305.04373
598,297.07242,293.56317,301.27985
599,294.20813,294.2093,300.5774
600,295.50732,296.277,302.92343
601,293.27548,289.30313,296.12485
602,293.77466,291.0885,297.05026
603,295.55356,294.8733,298.91245
604,297.51477,297.8809,298.04865
605,298.6677,300.69,297.13483
606,297.30576,299.72217,295.25513
607,295.89935,300.55676,296.48068
608,296.6597,296.5589,299.15253
609,296.54306,297.36273,298.78375
610,294.31412,300.7492,297.9107
611,293.86407,300.85043,297.93094
612,295.2361,302.19522,298.8208
613,296.74677,304.0398,298.32266
614,298.51138,302.5722,297.71234
615,297.89908,301.45743,297.69904
616,297.8535,298.06375,300.82413
617,295.33087,294.72528,299.9841
618,293.04453,292.72543,301.74335
619,293.94107,296.53223,301.86444
620,296.01306,300.44025,301.64496
621,298.78674,301.7402,300.81744
622,298.5789,297.25443,301.2381
623,299.87396,297.66525,303.49518
624,299.21252,296.84003,303.18497
625,298.74173,294.44598,305.60666
626,296.29315,290.75714,306.47406
627,294.36148,292.92398,303.56268
628,294.20163,294.0722,303.23676
629,296.11847,293.89288,303.1242
630,298.09155,298.09143,304.21222
631,293.8191,300.90936,306.9779
632,290.71085,302.1157,304.69254
633,293.4863,303.54898,303.17142
634,296.63425,304.406,302.6949
635,298.60257,303.64413,301.426
636,297.2542,302.96478,302.33344
637,296.6283,297.1781,304.92834
638,297.32944,299.46384,304.82086
639,298.5552,300.46475,304.55103
640,300.4022,300.5159,305.5109
641,297.23172,300.97534,304.12094
642,298.34915,302.06702,304.77985
643,298.0566,303.5012,302.03418
644,298.72043,303.4417,296.7082
645,297.51477,302.56207,296.05334
646,297.21988,299.84372,295.0601
647,298.7465,298.3729,295.99966
648,299.64954,299.13226,298.8872
649,300.36722,300.00778,301.6291
650,299.97757,297.01822,300.4521
651,299.29956,298.32602,298.93396
652,299.7348,301.16974,301.40393
653,298.17444,299.36392,302.7694
654,297.6717,300.6999,304.2933
655,296.517,303.3803,304.7312
656,297.03452,299.1811,302.472
657,299.2741,298.61554,302.74063
658,302.58606,301.88483,299.83676
659,304.02563,302.80408,299.4478
660,303.7787,301.6551,301.25537
661,302.37704,301.86407,300.80804
662,298.1727,300.00943,298.52582
663,296.54068,300.388,296.6625
664,296.43823,302.96115,297.28632
665,299.5684,305.26617,297.37686
666,302.6962,303.17078,297.25687
667,301.89026,296.6486,298.53485
668,300.68997,296.30582,299.94635
669,296.06635,298.6465,300.57886
670,288.58316,298.4271,299.99957
671,289.78824,294.7663,299.54575
672,293.53485,291.50537,300.69196
673,294.74466,292.2807,302.83508
674,297.7759,295.47083,304.29126
675,299.44995,297.19272,299.14337
676,300.24878,297.32404,294.25772
677,299.77213,296.71393,293.4602
678,299.85144,297.68768,294.5827
679,300.144,298.44324,295.76447
680,300.56262,298.12247,297.61636
681,300.59818,299.18176,297.2337
682,299.73657,301.90393,298.1748
683,298.541,302.64313,299.7791
684,298.73166,303.4945,298.48428
685,299.84613,303.30984,299.97696
686,300.44186,301.18582,299.57446
687,301.33658,299.48578,297.84286
688,300.84747,297.3098,296.29852
689,301.99155,297.11575,296.6336
690,302.57956,299.47308,297.00107
691,302.69443,294.24536,299.86023
692,298.7003,293.1215,301.641
693,295.40964,294.25073,302.18423
694,294.31412,297.3991,301.98544
695,294.49655,298.6748,303.659
696,294.5836,297.66266,303.13696
697,293.45728,297.88168,304.81592
698,293.78888,297.97168,301.14096
699,295.06973,301.05984,295.53735
700,298.33432,303.17123,297.64255
701,296.57086,300.75372,299.27466
702,293.83212,296.9908,295.6321
703,296.90662,299.5587,296.74786
704,297.31287,303.15204,299.6902
705,299.23325,300.5988,299.79373
706,297.9038,299.0878,297.92792
707,295.0259,303.82303,301.21683
708,293.4324,303.57748,302.7134
709,294.30408,297.15717,298.25858
710,293.12686,296.64584,291.8931
711,292.08463,297.59628,292.60327
712,294.67,295.76544,297.25372
713,296.51285,298.90076,300.02252
714,297.78894,299.90356,302.52252
715,297.28857,298.11816,304.04608
716,297.27908,295.19196,305.1944
717,295.6536,296.61856,303.77176
718,295.34747,299.69537,297.11264
719,296.0663,299.40652,296.50516
720,296.69284,297.52905,300.55328
721,298.55283,299.78033,301.8712
722,299.73837,301.47873,301.02036
723,300.0599,298.4928,301.48373
724,301.35257,299.9604,301.66525
725,302.60855,303.8536,298.92267
726,300.4673,300.40558,298.33237
727,292.94504,297.7324,300.67258
728,295.6299,295.12726,303.26968
729,297.79135,296.5509,304.52704
730,299.8846,296.86578,303.2454
731,302.6601,298.19757,301.8614
732,302.38828,300.2079,299.17087
733,299.89645,301.2258,297.83228
734,298.74292,300.1681,295.1126
735,297.40463,301.02142,298.25653
736,297.01675,302.80026,302.33408
737,296.04562,301.78253,304.6905
738,298.64166,303.37848,305.1682
739,298.75064,303.24957,305.20654
740,296.9037,300.0451,300.2456
741,297.58408,301.62897,298.74597
742,295.45938,304.32574,295.64407
743,295.3439,306.0384,293.6468
744,294.39465,302.6534,297.33875
745,295.12424,302.0001,299.6599
746,297.29507,304.1408,301.14398
747,299.0757,305.40167,303.53848
748,300.2849,305.52777,305.33185
749,299.95212,304.2996,305.66095
750,294.53384,304.36542,305.5363
751,288.9207,301.5599,304.6097
752,291.06375,302.45908,303.66345
753,293.46262,305.0039,301.36386
754,294.1987,305.35147,297.95807
755,294.15958,305.74878,298.88232
756,292.21017,304.35773,301.0814
757,293.2802,301.92468,303.51422
758,296.0474,297.32904,304.09122
759,297.571,298.42584,304.93414
760,298.0039,299.1385,303.60394
761,296.71237,299.15335,303.9961
762,293.0623,300.22842,304.8385
763,294.34436,300.9196,306.15363
764,294.88083,301.6871,303.69394
765,294.56345,302.6333,299.84048
766,295.0413,303.885,300.96906
767,295.11533,304.52567,300.0391
768,296.34647,304.42105,296.47675
769,298.11523,303.92023,296.62628
770,298.37756,302.99237,299.3553
771,298.61206,301.19257,303.62744
772,299.6199,300.6666,304.59897
773,300.6071,300.74365,303.95963
774,299.28537,300.91095,303.90372
775,297.12747,300.21707,297.273
776,295.28708,299.05283,298.12265
777,295.15146,298.10126,303.10345
778,297.8837,299.77933,301.1565
779,298.50073,300.57147,294.88312
780,298.29526,300.58942,295.7578
781,297.66223,301.45206,298.37238
782,295.98166,299.42398,300.168
783,298.3521,300.73187,301.61017
784,301.24246,299.2934,302.34018
785,302.03772,299.98734,302.7489
786,300.39505,296.99088,303.28998
787,300.77463,294.17532,302.6465
788,297.7155,293.49994,302.86948
789,296.95517,294.82574,302.8607
790,295.6169,296.78662,303.96735
791,297.58524,297.91147,303.94424
792,299.12015,299.79425,302.1677
793,298.36392,299.38525,300.71674
794,295.9331,295.05484,299.93268
795,296.84268,295.3794,295.6207
796,298.32962,298.81226,298.6527
797,298.07852,296.13837,301.93176
798,297.20096,292.60703,303.68866
799,297.30038,295.24725,304.852
800,296.48444,297.1284,303.66315
801,293.16592,300.07095,304.35504
802,295.66663,298.4939,301.19608
803,296.91434,296.00787,299.10513
804,298.64938,296.27823,295.2321
805,301.0577,295.76236,295.6015
806,302.1757,296.74078,298.45245
807,300.61948,298.3441,302.44485
808,300.687,299.3255,305.0205
809,294.97736,298.38147,306.58942
810,294.25552,296.4488,307.14685
811,296.34586,300.3521,307.2102
812,298.82703,302.98795,307.5624
813,302.9781,304.99777,307.6373
814,305.00504,306.0622,307.81403
815,304.99026,306.57626,307.77744
816,304.79782,305.59967,307.5931
817,305.36685,305.7602,307.96622
818,304.22162,305.0123,308.32846
819,304.31223,307.17828,310.17285
820,302.37997,302.1453,308.87872
